company_id,detailsId,period,status,message
9464926,,2024,OK,
11074084,,2022,SKIP,parse_company_year_json returned None
11074084,,2023,SKIP,parse_company_year_json returned None
11074084,,2024,OK,
10119053,,2022,OK,
10119053,,2023,OK,
10119053,,2024,OK,
9822732,,2022,OK,
9822732,,2023,OK,
9822732,,2024,OK,
10050108,,2022,OK,
10050108,,2023,OK,
10050108,,2024,OK,
10059037,,2022,OK,
10059037,,2023,OK,
10059037,,2024,OK,
5634960,,2022,OK,
5634960,,2023,OK,
5634960,,2024,OK,
8779283,,2022,OK,
8779283,,2023,OK,
8779283,,2024,OK,
11852315,,2022,SKIP,parse_company_year_json returned None
11852315,,2023,SKIP,parse_company_year_json returned None
11852315,,2024,OK,
1739673,,2022,SKIP,parse_company_year_json returned None
1739673,,2023,SKIP,parse_company_year_json returned None
1739673,,2024,SKIP,parse_company_year_json returned None
8165936,,2022,OK,
8165936,,2023,OK,
8165936,,2024,OK,
10688971,,2022,OK,
10688971,,2023,OK,
10688971,,2024,OK,
472629,,2022,OK,
472629,,2023,OK,
472629,,2024,OK,
2688818,,2022,OK,
2688818,,2023,OK,
2688818,,2024,OK,
273340,,2022,OK,
273340,,2023,OK,
273340,,2024,SKIP,parse_company_year_json returned None
4152306,,2022,OK,
4152306,,2023,OK,
4152306,,2024,OK,
9061050,,2022,OK,
9061050,,2023,OK,
9061050,,2024,OK,
10364471,,2022,OK,
10364471,,2023,OK,
10364471,,2024,OK,
4693496,,2022,SKIP,parse_company_year_json returned None
4693496,,2023,SKIP,parse_company_year_json returned None
4693496,,2024,SKIP,parse_company_year_json returned None
11920905,,2022,SKIP,parse_company_year_json returned None
11920905,,2023,SKIP,parse_company_year_json returned None
11920905,,2024,SKIP,parse_company_year_json returned None
5721350,,2022,OK,
5721350,,2023,OK,
5721350,,2024,OK,
10866307,,2022,OK,
10866307,,2023,OK,
10866307,,2024,OK,
1598361,,2022,OK,
1598361,,2023,OK,
1598361,,2024,OK,
6013749,,2022,OK,
6013749,,2023,OK,
6013749,,2024,OK,
5521700,,2022,OK,
5521700,,2023,OK,
5521700,,2024,OK,
7973312,,2022,OK,
7973312,,2023,OK,
7973312,,2024,OK,
3750024,,2022,OK,
3750024,,2023,OK,
3750024,,2024,OK,
6353970,,2022,OK,
6353970,,2023,OK,
6353970,,2024,OK,
2853986,,2022,SKIP,parse_company_year_json returned None
2853986,,2023,SKIP,parse_company_year_json returned None
2853986,,2024,OK,
3190537,,2022,OK,
3190537,,2023,OK,
3190537,,2024,OK,
5157365,,2022,OK,
5157365,,2023,SKIP,parse_company_year_json returned None
5157365,,2024,OK,
5746648,,2022,SKIP,parse_company_year_json returned None
5746648,,2023,SKIP,parse_company_year_json returned None
5746648,,2024,SKIP,parse_company_year_json returned None
159817,,2022,OK,
159817,,2023,OK,
159817,,2024,OK,
5853865,,2022,OK,
5853865,,2023,OK,
5853865,,2024,OK,
11334557,,2022,OK,
11334557,,2023,OK,
11334557,,2024,OK,
466296,,2022,OK,
466296,,2023,OK,
466296,,2024,OK,
7835892,,2022,OK,
7835892,,2023,OK,
7835892,,2024,OK,
10872303,,2022,SKIP,parse_company_year_json returned None
10872303,,2023,SKIP,parse_company_year_json returned None
10872303,,2024,SKIP,parse_company_year_json returned None
4987641,,2022,OK,
4987641,,2023,OK,
4987641,,2024,OK,
10960830,,2022,OK,
10960830,,2023,SKIP,parse_company_year_json returned None
10960830,,2024,SKIP,parse_company_year_json returned None
5742245,,2022,SKIP,parse_company_year_json returned None
