level,key,period,n_companies,median_margin,mad_margin,median_debt_ratio,mad_debt_ratio,median_inv_turnover,mad_inv_turnover,median_growth,mad_growth
okved2,62,2024,171,0.0614428306735999,0.0802075916785768,0.0,0.1410705391642914,18.55102687626775,17.611695632343434,0.11484804136859719,0.29835991600768436
okved2,68,2024,244,0.06355331017950536,0.13317382853762622,0.01439177141345885,0.24016012143652826,64.64825207951955,62.58049122687009,0.0884109916367981,0.1483515601754623
okved2,69,2024,166,0.0567496961429871,0.08462615815556986,0.0,0.07051282051282046,17.950387596899223,17.549074392554882,0.1450209838646879,0.2041251900199836
okved2,70,2024,107,0.0599472032260076,0.12034516277290949,0.0042009795332615,0.3509997928843757,70.0,67.7620578778135,0.0620420888542478,0.2908147992732318
okved2,71,2024,215,0.0879530864919099,0.1078561620630034,0.00249857316188445,0.16828866166197345,16.539522258414763,14.916601802340917,0.1529951298601686,0.38847876091728545
okved2,72,2024,13,0.0507831325301204,0.20996139534973263,,,,,0.1836426538449644,0.8159843874854017
okved2,73,2024,158,0.0385482616755251,0.0539709320162558,0.027378507871321,0.0827221241063065,12.318205506524446,10.851803111053758,0.1723600062392762,0.2851114079161446
okved2,80,2024,13,0.0357334406006972,0.0323754822393809,,,,,0.1331209930989423,0.10975944850186062
okved2,86,2024,275,0.0620212964692695,0.0695443624735278,0.00168332608235675,0.13218341184876303,20.920539730134934,16.584927068835718,0.1653992395437262,0.1711956863970836
okved2,93,2024,70,0.0526326059510963,0.09676387069584044,0.0,0.4068185179707144,38.40523255813953,36.75716152105504,0.1810945093465503,0.2547813104731268
section,A,2024,98,0.04843761986666705,0.12482310980575864,0.3201484431571325,0.3201484431571325,1.7126325550101296,1.1582671571989342,0.00757493188010895,0.343529424563201
section,C,2024,296,0.03880780388967975,0.0399356113286713,0.1675221768376971,0.2786278878598537,7.467005965749808,5.261939991572606,0.1602256521653295,0.3767100139121163
section,F,2024,570,0.0334076798650091,0.0401605900919335,0.10303924552160396,0.1220548456176401,10.085579514824795,8.765191165310233,0.0745247137756456,0.43145023421097317
section,G,2024,756,0.02788387181861195,0.0305994936811399,0.1005050505050505,0.16836359034536708,6.462365463856233,5.1486493283018895,0.0751902940380974,0.27420423165068863
section,H,2024,299,0.0244077530509691,0.0332558262737993,0.1171875,0.32056370578778126,25.38808317317538,23.160485870372874,0.12180894814104709,0.2622469604642228
section,I,2024,166,0.0428239678660195,0.042654029307106545,0.0001511944360447,0.2782077612630365,16.24230769230769,12.602069664537783,0.1567940179927561,0.21816937488815757
section,J,2024,195,0.0644490644490644,0.09209883403431779,0.0,0.0859598853868194,19.5625,18.862725505704958,0.0891415994130594,0.2985507897850506
section,L,2024,244,0.06355331017950536,0.13317382853762622,0.01439177141345885,0.24016012143652826,64.64825207951955,62.58049122687009,0.0884109916367981,0.1483515601754623
section,M,2024,666,0.0564285704220659,0.08998849659413904,0.002510368915084,0.1248223196422561,18.288423655643573,17.289991014350797,0.135358596930786,0.2904888606963326
section,N,2024,51,0.0346728102432324,0.0598559604263825,0.0,0.2940038684719536,24.635097493036213,24.61229825301088,0.13502522683992754,0.21810788859699484
section,Q,2024,276,0.0636971809211674,0.07107432167480271,0.00168332608235675,0.13218341184876303,20.920539730134934,16.584927068835718,0.16591029585860628,0.17163975117901425
section,R,2024,71,0.0509954593084177,0.09384408355239071,0.0,0.4068185179707144,43.75,41.80306427503737,0.1668015648185619,0.24212812505078252
period,ALL,2024,3737,0.0401041666666666,0.0528182994289792,0.0462389380530973,0.20879318838193417,10.912933124595869,9.47014602063868,0.1088736414167196,0.28221006029157125
